fic,date,country,currency,mportret,mportretx
DEU,2002-01-31,GERMANY,EUR,0.0122772449,0.0114909316
DEU,2002-02-28,GERMANY,EUR,-0.008807217,-0.008816007
DEU,2002-03-28,GERMANY,EUR,0.049328125,0.0484695259
DEU,2002-04-30,GERMANY,EUR,-0.045030509,-0.047092776
DEU,2002-05-31,GERMANY,EUR,-0.025702757,-0.033068468
DEU,2002-06-28,GERMANY,EUR,-0.068682064,-0.072463039
DEU,2002-07-31,GERMANY,EUR,-0.108893505,-0.11295154
DEU,2002-08-30,GERMANY,EUR,-0.002896128,-0.003387543
DEU,2002-09-30,GERMANY,EUR,-0.204906035,-0.205151895
DEU,2002-10-31,GERMANY,EUR,0.1037245989,0.1037245989
DEU,2002-11-29,GERMANY,EUR,0.027662049,0.027600712
DEU,2002-12-30,GERMANY,EUR,-0.096067013,-0.096118004
DEU,2003-01-31,GERMANY,EUR,-0.033368394,-0.034838
DEU,2003-02-28,GERMANY,EUR,-0.05303908,-0.053516935
DEU,2003-03-31,GERMANY,EUR,-0.037058109,-0.037288953
DEU,2003-04-30,GERMANY,EUR,0.1680373644,0.1602448919
DEU,2003-05-30,GERMANY,EUR,0.0227743582,0.013427391
DEU,2003-06-30,GERMANY,EUR,0.067287617,0.0608761067
DEU,2003-07-31,GERMANY,EUR,0.0612692652,0.060615358
DEU,2003-08-29,GERMANY,EUR,0.0102391246,0.0097280027
DEU,2003-09-30,GERMANY,EUR,-0.045060472,-0.045329555
DEU,2003-10-31,GERMANY,EUR,0.0968750059,0.0943712127
DEU,2003-11-28,GERMANY,EUR,0.016226445,0.01617917
DEU,2003-12-30,GERMANY,EUR,0.0344701634,0.0344157921
DEU,2004-01-30,GERMANY,EUR,0.0369963771,0.0353526429
DEU,2004-02-27,GERMANY,EUR,-0.002518526,-0.002538369
DEU,2004-03-31,GERMANY,EUR,-0.030725772,-0.030879065
DEU,2004-04-30,GERMANY,EUR,0.0281226188,0.021110904
DEU,2004-05-31,GERMANY,EUR,-0.013067004,-0.019170902
DEU,2004-06-30,GERMANY,EUR,0.0285929759,0.0257188017
DEU,2004-07-30,GERMANY,EUR,-0.030490724,-0.031201967
DEU,2004-08-31,GERMANY,EUR,-0.025676547,-0.026059985
DEU,2004-09-30,GERMANY,EUR,0.0239260995,0.0231427395
DEU,2004-10-29,GERMANY,EUR,0.0128427934,0.0128427934
DEU,2004-11-30,GERMANY,EUR,0.0407678193,0.0407628645
DEU,2004-12-30,GERMANY,EUR,0.027285709,0.0271484947
DEU,2005-01-31,GERMANY,EUR,0.0092856699,0.0061887546
DEU,2005-02-28,GERMANY,EUR,0.0253543236,0.0253102912
DEU,2005-03-31,GERMANY,EUR,-0.00306811,-0.00323137
DEU,2005-04-29,GERMANY,EUR,-0.030228889,-0.040589583
DEU,2005-05-31,GERMANY,EUR,0.0565773316,0.0485004839
DEU,2005-06-30,GERMANY,EUR,0.0297372791,0.0277490712
DEU,2005-07-28,GERMANY,EUR,0.0625058995,0.0618572065
DEU,2005-08-30,GERMANY,EUR,-0.008364462,-0.00852627
DEU,2005-09-29,GERMANY,EUR,0.0353340584,0.0352175477
DEU,2005-10-31,GERMANY,EUR,-0.024229984,-0.024276323
DEU,2005-11-30,GERMANY,EUR,0.0409472265,0.0408900211
DEU,2005-12-30,GERMANY,EUR,0.0372955345,0.0371104564
DEU,2006-01-31,GERMANY,EUR,0.05586619,0.0542064164
DEU,2006-02-28,GERMANY,EUR,0.032561864,0.032504724
DEU,2006-03-31,GERMANY,EUR,0.0314544781,0.031290297
DEU,2006-04-28,GERMANY,EUR,0.0079914023,0.004097048
DEU,2006-05-31,GERMANY,EUR,-0.049551823,-0.064072451
DEU,2006-06-30,GERMANY,EUR,-0.006040434,-0.008152738
DEU,2006-07-31,GERMANY,EUR,0.0033045283,0.0027507535
DEU,2006-08-31,GERMANY,EUR,0.0274315796,0.0270800274
DEU,2006-09-29,GERMANY,EUR,0.0315420271,0.0314055418
DEU,2006-10-31,GERMANY,EUR,0.0358601058,0.0358578535
DEU,2006-11-30,GERMANY,EUR,0.0055279995,0.0055075539
DEU,2006-12-29,GERMANY,EUR,0.0476757589,0.0476478579
DEU,2007-01-31,GERMANY,EUR,0.0341450297,0.032574907
DEU,2007-02-28,GERMANY,EUR,-0.006850511,-0.007007565
DEU,2007-03-30,GERMANY,EUR,0.0334929027,0.0332431076
DEU,2007-04-30,GERMANY,EUR,0.0537072983,0.0468160666
DEU,2007-05-31,GERMANY,EUR,0.0512201734,0.0351759972
DEU,2007-06-29,GERMANY,EUR,0.0065954472,0.0056684976
DEU,2007-07-31,GERMANY,EUR,-0.038324453,-0.039173584
DEU,2007-08-31,GERMANY,EUR,-0.003736128,-0.004265648
DEU,2007-09-28,GERMANY,EUR,0.0207006629,0.0206400151
DEU,2007-10-31,GERMANY,EUR,0.0259895435,0.0259855836
DEU,2007-11-30,GERMANY,EUR,-0.023701179,-0.023710015
DEU,2007-12-28,GERMANY,EUR,0.0139647991,0.0139558846
DEU,2008-01-31,GERMANY,EUR,-0.125973593,-0.127586905
DEU,2008-02-29,GERMANY,EUR,-0.003165102,-0.003262021
DEU,2008-03-31,GERMANY,EUR,-0.026215871,-0.026710577
DEU,2008-04-30,GERMANY,EUR,0.053049508,0.0438529549
DEU,2008-05-30,GERMANY,EUR,0.0221492828,0.0058966779
DEU,2008-06-30,GERMANY,EUR,-0.081862222,-0.083417869
DEU,2008-07-31,GERMANY,EUR,-0.007464799,-0.008786389
DEU,2008-08-29,GERMANY,EUR,-0.003865108,-0.004079433
DEU,2008-09-30,GERMANY,EUR,-0.086212367,-0.086311318
DEU,2008-10-31,GERMANY,EUR,-0.232725641,-0.232727563
DEU,2008-11-28,GERMANY,EUR,-0.046785377,-0.046800848
DEU,2008-12-30,GERMANY,EUR,0.0402605561,0.0402109019
DEU,2009-01-30,GERMANY,EUR,-0.09211999,-0.095151362
DEU,2009-02-27,GERMANY,EUR,-0.09873653,-0.098879844
DEU,2009-03-31,GERMANY,EUR,0.040317048,0.039946088
DEU,2009-04-30,GERMANY,EUR,0.156294808,0.1423765602
DEU,2009-05-29,GERMANY,EUR,0.0410025254,0.0206972198
DEU,2009-06-30,GERMANY,EUR,-0.022169666,-0.023212757
DEU,2009-07-31,GERMANY,EUR,0.0851927706,0.0843707574
DEU,2009-08-31,GERMANY,EUR,-0.001240755,-0.001455734
DEU,2009-09-30,GERMANY,EUR,0.0334478265,0.0333366557
DEU,2009-10-30,GERMANY,EUR,-0.038495499,-0.038509544
DEU,2009-11-30,GERMANY,EUR,0.030687314,0.0306715009
DEU,2009-12-30,GERMANY,EUR,0.0483220173,0.0483072994
DEU,2010-01-29,GERMANY,EUR,-0.041133523,-0.043016293
DEU,2010-02-26,GERMANY,EUR,-0.005374318,-0.005433978
DEU,2010-03-31,GERMANY,EUR,0.0862987287,0.0859758545
DEU,2010-04-30,GERMANY,EUR,0.0037239205,-0.003891181
DEU,2010-05-31,GERMANY,EUR,-0.028603155,-0.042825854
DEU,2010-06-30,GERMANY,EUR,0.0044661527,0.0024919054
