fic,date,country,currency,mportret,mportretx
JPN,2007-07-31,JAPAN,JPY,-0.039994948,-0.040045642
JPN,2007-08-31,JAPAN,JPY,-0.054778619,-0.055116004
JPN,2007-09-28,JAPAN,JPY,0.009576893,0.0041873875
JPN,2007-10-31,JAPAN,JPY,0.0079777915,0.0077803616
JPN,2007-11-30,JAPAN,JPY,-0.054486755,-0.05456406
JPN,2007-12-28,JAPAN,JPY,-0.032913577,-0.033559291
JPN,2008-01-31,JAPAN,JPY,-0.092646982,-0.09271393
JPN,2008-02-29,JAPAN,JPY,-0.01378665,-0.01412672
JPN,2008-03-31,JAPAN,JPY,-0.071323423,-0.079996488
JPN,2008-04-30,JAPAN,JPY,0.1065605852,0.1065066224
JPN,2008-05-30,JAPAN,JPY,0.0377398094,0.0376403848
JPN,2008-06-30,JAPAN,JPY,-0.06028088,-0.060874517
JPN,2008-07-31,JAPAN,JPY,-0.013120377,-0.013188842
JPN,2008-08-29,JAPAN,JPY,-0.034157884,-0.034428646
JPN,2008-09-30,JAPAN,JPY,-0.125962734,-0.13274365
JPN,2008-10-31,JAPAN,JPY,-0.198494443,-0.198577464
JPN,2008-11-28,JAPAN,JPY,-0.029179422,-0.029319528
JPN,2008-12-30,JAPAN,JPY,0.03139496,0.0302745373
JPN,2009-01-30,JAPAN,JPY,-0.077482648,-0.077561607
JPN,2009-02-27,JAPAN,JPY,-0.044090473,-0.044646712
JPN,2009-03-31,JAPAN,JPY,0.0286618947,0.018802025
JPN,2009-04-30,JAPAN,JPY,0.0764425469,0.0763478373
JPN,2009-05-29,JAPAN,JPY,0.0710626668,0.0709189731
JPN,2009-06-30,JAPAN,JPY,0.0397031683,0.0389756266
JPN,2009-07-31,JAPAN,JPY,0.0237988394,0.0237399555
JPN,2009-08-31,JAPAN,JPY,0.0164439743,0.0161079333
JPN,2009-09-30,JAPAN,JPY,-0.043734277,-0.049738478
JPN,2009-10-30,JAPAN,JPY,-0.019204466,-0.019281959
JPN,2009-11-30,JAPAN,JPY,-0.061068245,-0.061168458
JPN,2009-12-30,JAPAN,JPY,0.0805501624,0.0796077664
JPN,2010-01-29,JAPAN,JPY,-0.006911166,-0.006983286
JPN,2010-02-26,JAPAN,JPY,-0.007107414,-0.007577333
JPN,2010-03-31,JAPAN,JPY,0.1009952767,0.0916766043
JPN,2010-04-30,JAPAN,JPY,0.00960722,0.0095519487
JPN,2010-05-31,JAPAN,JPY,-0.104793454,-0.104899825
JPN,2010-06-30,JAPAN,JPY,-0.036724535,-0.037485732
JPN,2010-07-30,JAPAN,JPY,0.0077914684,0.0077238394
JPN,2010-08-31,JAPAN,JPY,-0.051184422,-0.051566429
JPN,2010-09-30,JAPAN,JPY,0.0382382212,0.0301248061
JPN,2010-10-29,JAPAN,JPY,-0.023876034,-0.023954289
JPN,2010-11-30,JAPAN,JPY,0.061165762,0.0610631751
JPN,2010-12-30,JAPAN,JPY,0.0442699737,0.043265473
JPN,2011-01-31,JAPAN,JPY,0.0138522131,0.0137732052
JPN,2011-02-28,JAPAN,JPY,0.0443956431,0.0439269147
JPN,2011-03-31,JAPAN,JPY,-0.071591217,-0.081199248
JPN,2011-04-28,JAPAN,JPY,-0.015948581,-0.016009067
JPN,2011-05-31,JAPAN,JPY,-0.012148979,-0.012389365
JPN,2011-06-30,JAPAN,JPY,0.0129904417,0.0121423574
JPN,2011-07-29,JAPAN,JPY,-0.008533094,-0.008613873
JPN,2011-08-31,JAPAN,JPY,-0.076559461,-0.076950989
JPN,2011-09-30,JAPAN,JPY,0.0005913729,-0.008564316
JPN,2011-10-31,JAPAN,JPY,0.0016052101,0.0015050178
JPN,2011-11-30,JAPAN,JPY,-0.045460704,-0.045559854
JPN,2011-12-30,JAPAN,JPY,0.0043479464,0.0031531302
JPN,2012-01-31,JAPAN,JPY,0.0316824498,0.0315945233
JPN,2012-02-29,JAPAN,JPY,0.1013296977,0.1007308631
JPN,2012-03-30,JAPAN,JPY,0.0355040518,0.0247004936
JPN,2012-04-27,JAPAN,JPY,-0.053717951,-0.05377409
JPN,2012-05-31,JAPAN,JPY,-0.100344398,-0.100479259
JPN,2012-06-29,JAPAN,JPY,0.0674300735,0.0663238641
JPN,2012-07-31,JAPAN,JPY,-0.038989336,-0.039089951
JPN,2012-08-31,JAPAN,JPY,-0.003146023,-0.003654869
JPN,2012-09-28,JAPAN,JPY,0.0174288696,0.0077609845
JPN,2012-10-31,JAPAN,JPY,0.0052052507,0.0051047305
JPN,2012-11-30,JAPAN,JPY,0.0500403105,0.0499272396
