observation_date,DEXSZUS
2024-02-01,0.8833
2024-03-01,0.9015
2024-04-01,0.9174
2024-05-01,0.9034
2024-06-01,0.8992
2024-07-01,0.8797
2024-08-01,0.8493
2024-09-01,0.8444
2024-10-01,0.8648
2024-11-01,0.8822
2024-12-01,0.9068
