observation_date,DEXJPUS
2002-01-01,134.06
2002-02-01,133.96
2002-03-01,132.70
2002-04-01,128.45
2002-05-01,124.13
2002-06-01,119.85
2002-07-01,119.77
2002-08-01,118.76
2002-09-01,121.74
2002-10-01,122.78
2002-11-01,122.72
2002-12-01,118.75
2003-01-01,119.96
2003-02-01,118.22
2003-03-01,118.07
2003-04-01,119.07
2003-05-01,119.50
2003-06-01,119.87
2003-07-01,120.42
2003-08-01,116.71
2003-09-01,111.43
2003-10-01,110.10
2003-11-01,109.53
2003-12-01,107.13
2004-01-01,105.84
2004-02-01,109.26
2004-03-01,104.18
2004-04-01,110.37
2004-05-01,110.18
2004-06-01,109.43
2004-07-01,111.39
2004-08-01,109.00
2004-09-01,110.20
2004-10-01,106.04
2004-11-01,103.04
2004-12-01,102.68
2005-01-01,103.55
2005-02-01,104.25
2005-03-01,107.22
2005-04-01,104.64
2005-05-01,107.97
2005-06-01,110.91
2005-07-01,112.25
2005-08-01,110.84
2005-09-01,113.29
2005-10-01,116.36
2005-11-01,119.66
2005-12-01,117.88
2006-01-01,116.88
2006-02-01,115.82
2006-03-01,117.48
2006-04-01,113.79
2006-05-01,112.26
2006-06-01,114.51
2006-07-01,114.44
2006-08-01,117.35
2006-09-01,117.99
2006-10-01,116.82
2006-11-01,115.55
2006-12-01,119.02
2007-01-01,121.02
2007-02-01,118.33
2007-03-01,117.56
2007-04-01,119.44
2007-05-01,121.76
2007-06-01,123.39
2007-07-01,119.13
2007-08-01,115.83
2007-09-01,114.97
2007-10-01,115.27
2007-11-01,111.02
2007-12-01,111.71
2008-01-01,106.74
2008-02-01,104.19
2008-03-01,99.85
2008-04-01,104.53
2008-05-01,105.46
2008-06-01,106.17
2008-07-01,108.10
2008-08-01,108.69
2008-09-01,105.94
2008-10-01,98.28
2008-11-01,95.46
2008-12-01,90.79
2009-01-01,89.83
2009-02-01,97.74
2009-03-01,99.15
2009-04-01,98.76
2009-05-01,95.55
2009-06-01,96.42
2009-07-01,94.54
2009-08-01,92.82
2009-09-01,89.49
2009-10-01,90.50
2009-11-01,86.12
2009-12-01,93.08
2010-01-01,90.38
2010-02-01,88.84
2010-03-01,93.40
2010-04-01,94.24
2010-05-01,90.81
2010-06-01,88.49
2010-07-01,86.43
2010-08-01,84.10
2010-09-01,83.53
2010-10-01,80.48
2010-11-01,83.56
2010-12-01,81.67
2011-01-01,81.97
2011-02-01,81.94
2011-03-01,82.76
2011-04-01,81.31
2011-05-01,81.29
2011-06-01,80.64
2011-07-01,77.18
2011-08-01,76.50
2011-09-01,77.04
2011-10-01,77.97
2011-11-01,77.58
2011-12-01,76.98
2012-01-01,76.34
2012-02-01,81.10
2012-03-01,82.41
2012-04-01,79.81
2012-05-01,78.29
2012-06-01,79.81
2012-07-01,78.10
2012-08-01,78.30
2012-09-01,77.92
2012-10-01,79.94
2012-11-01,82.54
2012-12-01,86.64
